"행정구역","2020년06월_계_총인구수","2020년06월_계_연령구간인구수","2020년06월_계_0~9세","2020년06월_계_10~19세","2020년06월_계_20~29세","2020년06월_계_30~39세","2020년06월_계_40~49세","2020년06월_계_50~59세","2020년06월_계_60~69세","2020년06월_계_70~79세","2020년06월_계_80~89세","2020년06월_계_90~99세","2020년06월_계_100세 이상","2020년06월_남_총인구수","2020년06월_남_연령구간인구수","2020년06월_남_0~9세","2020년06월_남_10~19세","2020년06월_남_20~29세","2020년06월_남_30~39세","2020년06월_남_40~49세","2020년06월_남_50~59세","2020년06월_남_60~69세","2020년06월_남_70~79세","2020년06월_남_80~89세","2020년06월_남_90~99세","2020년06월_남_100세 이상","2020년06월_여_총인구수","2020년06월_여_연령구간인구수","2020년06월_여_0~9세","2020년06월_여_10~19세","2020년06월_여_20~29세","2020년06월_여_30~39세","2020년06월_여_40~49세","2020년06월_여_50~59세","2020년06월_여_60~69세","2020년06월_여_70~79세","2020년06월_여_80~89세","2020년06월_여_90~99세","2020년06월_여_100세 이상"
"서울특별시  (1100000000)","9,720,846","9,720,846","646,238","800,377","1,465,500","1,496,864","1,547,624","1,532,341","1,217,518","697,099","269,405","41,346","6,534","4,732,275","4,732,275","331,870","410,236","713,039","749,157","766,587","752,182","575,000","317,745","103,967","10,782","1,710","4,988,571","4,988,571","314,368","390,141","752,461","747,707","781,037","780,159","642,518","379,354","165,438","30,564","4,824"
"서울특별시 종로구 (1111000000)","150,383","150,383","7,896","11,309","23,446","20,146","22,641","25,662","19,556","12,595","5,812","1,053","267","73,288","73,288","3,996","5,705","11,564","10,023","11,009","12,907","9,690","5,612","2,322","372","88","77,095","77,095","3,900","5,604","11,882","10,123","11,632","12,755","9,866","6,983","3,490","681","179"
"서울특별시 종로구 청운효자동(1111051500)","12,609","12,609","870","1,213","1,613","1,729","2,190","2,005","1,368","1,022","505","75","19","5,885","5,885","459","649","792","809","973","947","599","420","205","29","3","6,724","6,724","411","564","821","920","1,217","1,058","769","602","300","46","16"
"서울특별시 종로구 사직동(1111053000)","9,506","9,506","592","690","1,251","1,411","1,490","1,549","1,181","775","457","91","19","4,281","4,281","291","316","573","622","659","708","548","332","192","36","4","5,225","5,225","301","374","678","789","831","841","633","443","265","55","15"
"서울특별시 종로구 삼청동(1111054000)","2,707","2,707","105","205","343","371","369","427","406","290","153","30","8","1,301","1,301","48","119","186","177","179","209","184","135","51","12","1","1,406","1,406","57","86","157","194","190","218","222","155","102","18","7"
"서울특별시 종로구 부암동(1111055000)","10,050","10,050","587","935","1,377","1,215","1,657","1,716","1,281","805","390","76","11","4,769","4,769","302","494","714","560","776","775","607","361","156","21","3","5,281","5,281","285","441","663","655","881","941","674","444","234","55","8"
"서울특별시 종로구 평창동(1111056000)","18,519","18,519","1,199","1,658","2,509","2,246","2,801","3,325","2,437","1,409","754","156","25","8,671","8,671","615","855","1,290","1,049","1,230","1,501","1,163","625","292","43","8","9,848","9,848","584","803","1,219","1,197","1,571","1,824","1,274","784","462","113","17"
"서울특별시 종로구 무악동(1111057000)","8,645","8,645","725","1,023","944","974","1,568","1,402","989","652","302","49","17","4,023","4,023","322","481","429","440","747","732","454","262","127","17","12","4,622","4,622","403","542","515","534","821","670","535","390","175","32","5"
"서울특별시 종로구 교남동(1111058000)","10,534","10,534","899","860","1,292","1,794","1,849","1,602","1,126","733","316","48","15","4,890","4,890","462","414","604","844","868","766","490","296","127","14","5","5,644","5,644","437","446","688","950","981","836","636","437","189","34","10"
"서울특별시 종로구 가회동(1111060000)","4,354","4,354","217","345","491","580","767","702","588","447","170","37","10","2,015","2,015","109","183","230","277","361","324","266","183","71","7","4","2,339","2,339","108","162","261","303","406","378","322","264","99","30","6"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","7,248","7,248","196","219","842","922","953","1,388","1,395","841","362","91","39","4,349","4,349","104","117","438","524","579","977","886","502","170","40","12","2,899","2,899","92","102","404","398","374","411","509","339","192","51","27"
"서울특별시 종로구 종로5.6가동(1111063000)","5,323","5,323","117","238","1,117","692","623","975","773","540","200","39","9","2,887","2,887","60","121","572","410","362","551","445","264","85","13","4","2,436","2,436","57","117","545","282","261","424","328","276","115","26","5"
"서울특별시 종로구 이화동(1111064000)","7,774","7,774","267","455","1,708","1,278","1,044","1,129","915","612","305","48","13","3,661","3,661","137","217","806","607","519","555","438","254","107","18","3","4,113","4,113","130","238","902","671","525","574","477","358","198","30","10"
"서울특별시 종로구 혜화동(1111065000)","16,868","16,868","714","1,378","4,487","2,134","2,281","2,309","1,584","1,247","622","90","22","8,164","8,164","342","704","2,234","1,129","1,099","1,108","767","502","243","28","8","8,704","8,704","372","674","2,253","1,005","1,182","1,201","817","745","379","62","14"
"서울특별시 종로구 창신제1동(1111067000)","5,162","5,162","149","244","616","516","664","1,158","994","559","208","45","9","2,803","2,803","80","126","345","296","344","657","578","277","79","20","1","2,359","2,359","69","118","271","220","320","501","416","282","129","25","8"
"서울특별시 종로구 창신제2동(1111068000)","8,394","8,394","256","525","1,189","920","1,160","1,844","1,313","821","305","48","13","4,315","4,315","146","270","639","547","611","967","645","347","122","19","2","4,079","4,079","110","255","550","373","549","877","668","474","183","29","11"
"서울특별시 종로구 창신제3동(1111069000)","7,001","7,001","402","551","966","986","983","1,288","987","548","234","45","11","3,422","3,422","217","268","513","472","478","627","489","248","81","20","9","3,579","3,579","185","283","453","514","505","661","498","300","153","25","2"
"서울특별시 종로구 숭인제1동(1111070000)","6,149","6,149","311","390","816","854","962","1,142","872","535","223","35","9","2,992","2,992","158","185","412","441","507","559","404","224","86","13","3","3,157","3,157","153","205","404","413","455","583","468","311","137","22","6"
"서울특별시 종로구 숭인제2동(1111071000)","9,540","9,540","290","380","1,885","1,524","1,280","1,701","1,347","759","306","50","18","4,860","4,860","144","186","787","819","717","944","727","380","128","22","6","4,680","4,680","146","194","1,098","705","563","757","620","379","178","28","12"
"서울특별시 중구 (1114000000)","126,092","126,092","7,097","7,131","18,565","20,393","18,388","20,939","17,228","10,601","4,695","858","197","61,697","61,697","3,601","3,571","8,911","10,219","9,351","10,663","8,568","4,750","1,739","260","64","64,395","64,395","3,496","3,560","9,654","10,174","9,037","10,276","8,660","5,851","2,956","598","133"
"서울특별시 중구 소공동(1114052000)","2,103","2,103","180","112","209","438","456","309","233","106","45","10","5","1,019","1,019","92","32","84","213","239","158","130","51","16","3","1","1,084","1,084","88","80","125","225","217","151","103","55","29","7","4"
"서울특별시 중구 회현동(1114054000)","5,203","5,203","202","207","513","563","675","1,000","1,058","574","283","85","43","2,783","2,783","112","88","226","275","376","597","632","292","132","34","19","2,420","2,420","90","119","287","288","299","403","426","282","151","51","24"
"서울특별시 중구 명동(1114055000)","2,992","2,992","91","153","355","394","439","513","532","336","142","28","9","1,271","1,271","54","59","164","196","188","211","230","122","36","8","3","1,721","1,721","37","94","191","198","251","302","302","214","106","20","6"
"서울특별시 중구 필동(1114057000)","3,982","3,982","196","185","697","606","488","611","609","356","175","50","9","2,049","2,049","103","97","357","334","277","342","288","170","62","16","3","1,933","1,933","93","88","340","272","211","269","321","186","113","34","6"
"서울특별시 중구 장충동(1114058000)","4,697","4,697","189","337","1,226","667","589","602","501","378","173","32","3","2,376","2,376","99","162","657","351","314","310","243","166","64","10","0","2,321","2,321","90","175","569","316","275","292","258","212","109","22","3"
"서울특별시 중구 광희동(1114059000)","5,034","5,034","142","205","761","774","621","878","858","536","207","37","15","2,659","2,659","71","109","369","429","341","504","448","286","78","18","6","2,375","2,375","71","96","392","345","280","374","410","250","129","19","9"
"서울특별시 중구 을지로동(1114060500)","1,817","1,817","54","35","206","282","195","342","397","199","76","21","10","1,102","1,102","28","12","98","166","127","238","274","109","38","8","4","715","715","26","23","108","116","68","104","123","90","38","13","6"
"서울특별시 중구 신당동(1114061500)","7,567","7,567","265","299","1,310","1,277","1,086","1,377","1,003","644","245","53","8","3,756","3,756","107","155","603","657","587","728","499","305","98","14","3","3,811","3,811","158","144","707","620","499","649","504","339","147","39","5"
"서울특별시 중구 다산동(1114062500)","14,454","14,454","600","878","2,420","2,310","2,127","2,365","1,926","1,243","494","78","13","7,027","7,027","311","474","1,185","1,208","1,062","1,145","887","554","182","16","3","7,427","7,427","289","404","1,235","1,102","1,065","1,220","1,039","689","312","62","10"
"서울특별시 중구 약수동(1114063500)","17,377","17,377","1,176","1,015","2,071","2,498","2,525","2,902","2,610","1,645","779","147","9","8,180","8,180","562","519","1,041","1,169","1,261","1,377","1,212","717","281","37","4","9,197","9,197","614","496","1,030","1,329","1,264","1,525","1,398","928","498","110","5"
"서울특별시 중구 청구동(1114064500)","14,150","14,150","793","930","2,019","2,232","2,022","2,386","1,906","1,172","591","91","8","6,715","6,715","399","473","987","1,118","969","1,166","904","454","216","26","3","7,435","7,435","394","457","1,032","1,114","1,053","1,220","1,002","718","375","65","5"
"서울특별시 중구 신당제5동(1114065000)","10,644","10,644","617","592","1,654","1,780","1,602","1,880","1,298","832","330","47","12","5,189","5,189","302","296","767","906","824","976","639","350","116","13","0","5,455","5,455","315","296","887","874","778","904","659","482","214","34","12"
"서울특별시 중구 동화동(1114066500)","10,783","10,783","774","878","1,492","1,373","1,665","1,967","1,384","769","407","60","14","5,186","5,186","419","434","741","642","810","940","696","341","141","18","4","5,597","5,597","355","444","751","731","855","1,027","688","428","266","42","10"
"서울특별시 중구 황학동(1114067000)","12,712","12,712","759","531","2,135","2,875","1,846","1,798","1,488","887","336","49","8","6,092","6,092","399","262","896","1,423","908","923","731","417","118","15","0","6,620","6,620","360","269","1,239","1,452","938","875","757","470","218","34","8"
"서울특별시 중구 중림동(1114068000)","12,577","12,577","1,059","774","1,497","2,324","2,052","2,009","1,425","924","412","70","31","6,293","6,293","543","399","736","1,132","1,068","1,048","755","416","161","24","11","6,284","6,284","516","375","761","1,192","984","961","670","508","251","46","20"
"서울특별시 용산구 (1117000000)","229,431","229,431","13,911","15,964","33,267","38,124","35,934","36,658","28,050","17,202","8,376","1,582","363","110,527","110,527","7,195","8,114","15,902","18,996","17,651","18,184","13,317","7,459","3,105","500","104","118,904","118,904","6,716","7,850","17,365","19,128","18,283","18,474","14,733","9,743","5,271","1,082","259"
"서울특별시 용산구 후암동(1117051000)","17,807","17,807","1,033","1,321","2,604","2,841","2,779","2,932","2,206","1,345","585","132","29","8,666","8,666","544","723","1,332","1,464","1,349","1,425","1,028","574","186","36","5","9,141","9,141","489","598","1,272","1,377","1,430","1,507","1,178","771","399","96","24"
"서울특별시 용산구 용산2가동(1117052000)","10,247","10,247","414","593","1,577","1,795","1,439","1,487","1,459","927","448","86","22","4,932","4,932","218","303","822","926","734","680","657","419","145","21","7","5,315","5,315","196","290","755","869","705","807","802","508","303","65","15"
"서울특별시 용산구 남영동(1117053000)","7,736","7,736","221","264","970","1,041","1,142","1,692","1,330","700","279","65","32","4,752","4,752","111","143","463","554","753","1,211","924","412","137","28","16","2,984","2,984","110","121","507","487","389","481","406","288","142","37","16"
"서울특별시 용산구 청파동(1117055500)","19,917","19,917","731","1,222","4,185","3,175","2,808","3,097","2,355","1,549","659","102","34","9,320","9,320","352","649","1,681","1,688","1,413","1,532","1,073","647","249","26","10","10,597","10,597","379","573","2,504","1,487","1,395","1,565","1,282","902","410","76","24"
"서울특별시 용산구 원효로제1동(1117056000)","16,140","16,140","1,392","872","2,431","3,706","2,643","2,193","1,613","837","358","77","18","7,787","7,787","713","445","1,042","1,792","1,385","1,084","766","381","150","25","4","8,353","8,353","679","427","1,389","1,914","1,258","1,109","847","456","208","52","14"
"서울특별시 용산구 원효로제2동(1117057000)","14,338","14,338","961","1,304","1,896","2,088","2,377","2,335","1,706","1,047","538","73","13","6,760","6,760","481","525","901","1,067","1,155","1,159","796","471","180","21","4","7,578","7,578","480","779","995","1,021","1,222","1,176","910","576","358","52","9"
"서울특별시 용산구 효창동(1117058000)","10,259","10,259","788","795","1,604","1,853","1,582","1,569","1,025","643","330","57","13","4,874","4,874","410","406","741","920","746","749","483","271","125","21","2","5,385","5,385","378","389","863","933","836","820","542","372","205","36","11"
"서울특별시 용산구 용문동(1117059000)","12,380","12,380","804","874","1,848","2,053","1,878","1,991","1,524","955","372","67","14","5,910","5,910","410","455","872","1,018","924","981","690","399","145","11","5","6,470","6,470","394","419","976","1,035","954","1,010","834","556","227","56","9"
"서울특별시 용산구 한강로동(1117062500)","18,321","18,321","933","911","2,836","3,668","2,583","3,033","2,233","1,335","610","137","42","8,839","8,839","485","481","1,278","1,745","1,262","1,519","1,132","625","244","54","14","9,482","9,482","448","430","1,558","1,923","1,321","1,514","1,101","710","366","83","28"
"서울특별시 용산구 이촌제1동(1117063000)","28,486","28,486","2,865","2,976","3,027","3,808","5,062","4,498","2,941","1,871","1,175","229","34","13,318","13,318","1,488","1,490","1,490","1,694","2,274","2,168","1,399","764","449","94","8","15,168","15,168","1,377","1,486","1,537","2,114","2,788","2,330","1,542","1,107","726","135","26"
"서울특별시 용산구 이촌제2동(1117064000)","8,793","8,793","566","512","1,014","1,520","1,236","1,405","1,319","776","370","60","15","4,146","4,146","300","269","495","767","607","653","593","334","116","10","2","4,647","4,647","266","243","519","753","629","752","726","442","254","50","13"
"서울특별시 용산구 이태원제1동(1117065000)","6,899","6,899","255","303","1,024","1,117","917","1,127","1,056","635","370","73","22","3,273","3,273","128","157","529","605","442","532","473","243","136","22","6","3,626","3,626","127","146","495","512","475","595","583","392","234","51","16"
"서울특별시 용산구 이태원제2동(1117066000)","9,283","9,283","449","516","1,378","1,682","1,415","1,284","1,181","861","421","82","14","4,292","4,292","235","243","693","840","664","582","494","358","157","23","3","4,991","4,991","214","273","685","842","751","702","687","503","264","59","11"
"서울특별시 용산구 한남동(1117068500)","21,183","21,183","1,219","1,157","2,798","4,089","3,415","3,258","2,717","1,643","696","158","33","10,190","10,190","654","590","1,395","2,004","1,675","1,573","1,261","714","268","48","8","10,993","10,993","565","567","1,403","2,085","1,740","1,685","1,456","929","428","110","25"
"서울특별시 용산구 서빙고동(1117069000)","13,349","13,349","811","1,535","1,812","1,530","2,538","2,218","1,395","815","601","88","6","6,409","6,409","408","779","908","728","1,206","1,109","690","327","222","29","3","6,940","6,940","403","756","904","802","1,332","1,109","705","488","379","59","3"
"서울특별시 용산구 보광동(1117070000)","14,293","14,293","469","809","2,263","2,158","2,120","2,539","1,990","1,263","564","96","22","7,059","7,059","258","456","1,260","1,184","1,062","1,227","858","520","196","31","7","7,234","7,234","211","353","1,003","974","1,058","1,312","1,132","743","368","65","15"
"서울특별시 성동구 (1120000000)","297,397","297,397","21,109","20,801","45,629","49,882","46,019","47,891","35,811","20,572","8,295","1,147","241","145,258","145,258","10,778","10,396","22,571","24,498","23,069","23,911","17,364","9,186","3,103","313","69","152,139","152,139","10,331","10,405","23,058","25,384","22,950","23,980","18,447","11,386","5,192","834","172"
"서울특별시 성동구 왕십리제2동(1120052000)","17,288","17,288","1,241","1,248","2,544","2,984","2,695","2,794","2,078","1,182","439","63","20","8,415","8,415","650","630","1,236","1,495","1,337","1,352","993","526","171","18","7","8,873","8,873","591","618","1,308","1,489","1,358","1,442","1,085","656","268","45","13"
"서울특별시 성동구 왕십리도선동(1120053500)","27,304","27,304","2,441","1,652","4,435","4,841","4,069","4,472","2,954","1,628","684","106","22","13,028","13,028","1,224","841","2,062","2,276","2,038","2,123","1,479","710","241","28","6","14,276","14,276","1,217","811","2,373","2,565","2,031","2,349","1,475","918","443","78","16"
"서울특별시 성동구 마장동(1120054000)","23,094","23,094","1,252","1,730","4,459","3,256","3,141","3,786","2,933","1,737","697","85","18","11,372","11,372","637","873","2,216","1,680","1,571","1,856","1,439","801","274","22","3","11,722","11,722","615","857","2,243","1,576","1,570","1,930","1,494","936","423","63","15"
"서울특별시 성동구 사근동(1120055000)","11,901","11,901","436","877","4,492","1,634","1,141","1,294","938","756","286","36","11","6,100","6,100","228","378","2,475","904","589","639","426","333","112","10","6","5,801","5,801","208","499","2,017","730","552","655","512","423","174","26","5"
"서울특별시 성동구 행당제1동(1120056000)","14,473","14,473","1,021","1,044","2,327","2,379","2,219","2,358","1,676","983","389","69","8","6,979","6,979","519","503","1,131","1,153","1,077","1,143","842","438","152","19","2","7,494","7,494","502","541","1,196","1,226","1,142","1,215","834","545","237","50","6"
"서울특별시 성동구 행당제2동(1120057000)","24,349","24,349","1,894","2,210","3,044","3,782","4,213","3,944","2,706","1,741","696","98","21","11,425","11,425","937","1,013","1,433","1,799","2,031","1,928","1,229","752","269","26","8","12,924","12,924","957","1,197","1,611","1,983","2,182","2,016","1,477","989","427","72","13"
"서울특별시 성동구 응봉동(1120058000)","15,887","15,887","1,209","1,732","1,777","2,287","2,989","2,438","1,688","1,196","494","69","8","7,508","7,508","602","842","886","1,110","1,410","1,184","754","513","187","17","3","8,379","8,379","607","890","891","1,177","1,579","1,254","934","683","307","52","5"
"서울특별시 성동구 금호1가동(1120059000)","15,830","15,830","1,347","1,107","1,853","2,841","2,613","2,391","2,035","1,097","481","53","12","7,560","7,560","672","577","933","1,315","1,328","1,148","921","470","176","18","2","8,270","8,270","675","530","920","1,526","1,285","1,243","1,114","627","305","35","10"
"서울특별시 성동구 금호2.3가동(1120061500)","23,743","23,743","1,773","1,557","3,028","4,268","3,815","3,729","2,958","1,766","715","107","27","11,300","11,300","919","785","1,520","2,045","1,881","1,766","1,346","761","239","31","7","12,443","12,443","854","772","1,508","2,223","1,934","1,963","1,612","1,005","476","76","20"
"서울특별시 성동구 금호4가동(1120062000)","14,879","14,879","1,410","987","1,557","2,805","2,631","2,153","1,777","1,068","432","50","9","7,129","7,129","718","518","784","1,322","1,318","1,049","796","460","146","14","4","7,750","7,750","692","469","773","1,483","1,313","1,104","981","608","286","36","5"
"서울특별시 성동구 옥수동(1120064500)","26,860","26,860","2,685","1,697","3,057","5,244","4,473","3,969","3,108","1,737","732","131","27","12,527","12,527","1,370","860","1,391","2,341","2,213","1,845","1,419","761","287","32","8","14,333","14,333","1,315","837","1,666","2,903","2,260","2,124","1,689","976","445","99","19"
"서울특별시 성동구 성수1가제1동(1120065000)","16,714","16,714","1,059","1,181","2,579","2,961","2,463","3,043","2,069","927","379","45","8","8,361","8,361","581","617","1,320","1,473","1,203","1,538","1,050","418","139","19","3","8,353","8,353","478","564","1,259","1,488","1,260","1,505","1,019","509","240","26","5"
"서울특별시 성동구 성수1가제2동(1120066000)","13,824","13,824","800","972","2,214","2,545","2,164","2,136","1,690","890","353","46","14","6,812","6,812","416","486","1,097","1,240","1,058","1,103","850","427","118","13","4","7,012","7,012","384","486","1,117","1,305","1,106","1,033","840","463","235","33","10"
"서울특별시 성동구 성수2가제1동(1120067000)","16,944","16,944","896","955","2,419","2,662","2,422","3,231","2,562","1,244","470","69","14","8,839","8,839","470","500","1,275","1,418","1,293","1,759","1,347","579","185","12","1","8,105","8,105","426","455","1,144","1,244","1,129","1,472","1,215","665","285","57","13"
"서울특별시 성동구 성수2가제3동(1120069000)","11,312","11,312","608","546","2,062","2,008","1,518","1,863","1,478","840","339","40","10","5,754","5,754","314","271","949","1,074","788","1,017","784","402","136","16","3","5,558","5,558","294","275","1,113","934","730","846","694","438","203","24","7"
"서울특별시 성동구 송정동(1120072000)","10,913","10,913","569","634","1,730","1,676","1,625","2,021","1,561","750","296","43","8","5,741","5,741","282","355","893","917","885","1,117","819","350","111","11","1","5,172","5,172","287","279","837","759","740","904","742","400","185","32","7"
"서울특별시 성동구 용답동(1120079000)","12,082","12,082","468","672","2,052","1,709","1,828","2,269","1,600","1,030","413","37","4","6,408","6,408","239","347","970","936","1,049","1,344","870","485","160","7","1","5,674","5,674","229","325","1,082","773","779","925","730","545","253","30","3"
"서울특별시 광진구 (1121500000)","349,574","349,574","20,639","26,686","62,568","57,165","53,563","55,069","41,560","22,281","8,577","1,255","211","168,879","168,879","10,522","13,580","29,543","28,210","26,439","26,855","19,747","10,229","3,358","345","51","180,695","180,695","10,117","13,106","33,025","28,955","27,124","28,214","21,813","12,052","5,219","910","160"
"서울특별시 광진구 화양동(1121571000)","22,360","22,360","427","780","9,354","4,326","2,206","2,084","1,659","1,042","395","64","23","10,582","10,582","210","354","3,982","2,278","1,222","1,095","776","478","163","19","5","11,778","11,778","217","426","5,372","2,048","984","989","883","564","232","45","18"
"서울특별시 광진구 군자동(1121573000)","19,952","19,952","927","1,107","4,401","3,679","2,619","2,943","2,332","1,366","506","62","10","9,852","9,852","487","572","2,135","1,861","1,352","1,484","1,119","635","194","12","1","10,100","10,100","440","535","2,266","1,818","1,267","1,459","1,213","731","312","50","9"
"서울특별시 광진구 중곡제1동(1121574000)","15,759","15,759","809","780","2,728","2,979","2,233","2,595","2,047","1,148","374","57","9","7,717","7,717","433","403","1,286","1,514","1,151","1,259","969","523","168","8","3","8,042","8,042","376","377","1,442","1,465","1,082","1,336","1,078","625","206","49","6"
"서울특별시 광진구 중곡제2동(1121575000)","22,159","22,159","1,269","1,439","3,938","4,013","3,062","3,641","2,738","1,482","488","80","9","10,543","10,543","656","728","1,783","1,972","1,505","1,726","1,273","687","196","15","2","11,616","11,616","613","711","2,155","2,041","1,557","1,915","1,465","795","292","65","7"
"서울특별시 광진구 중곡제3동(1121576000)","16,881","16,881","790","1,039","2,693","2,760","2,420","2,996","2,355","1,300","453","61","14","8,391","8,391","412","526","1,372","1,451","1,215","1,496","1,128","603","169","17","2","8,490","8,490","378","513","1,321","1,309","1,205","1,500","1,227","697","284","44","12"
"서울특별시 광진구 중곡제4동(1121577000)","29,894","29,894","1,610","2,053","4,539","4,556","4,327","5,415","4,247","2,281","736","102","28","14,665","14,665","835","1,109","2,288","2,261","2,189","2,612","1,964","1,078","297","24","8","15,229","15,229","775","944","2,251","2,295","2,138","2,803","2,283","1,203","439","78","20"
"서울특별시 광진구 능동(1121578000)","11,684","11,684","594","556","2,401","2,694","1,634","1,476","1,241","743","293","48","4","5,368","5,368","304","295","981","1,241","832","665","570","336","127","16","1","6,316","6,316","290","261","1,420","1,453","802","811","671","407","166","32","3"
"서울특별시 광진구 광장동(1121581000)","35,749","35,749","3,446","5,597","4,124","4,040","7,815","5,347","2,949","1,478","802","140","11","17,271","17,271","1,789","2,861","2,050","1,743","3,615","2,735","1,447","653","328","47","3","18,478","18,478","1,657","2,736","2,074","2,297","4,200","2,612","1,502","825","474","93","8"
"서울특별시 광진구 자양제1동(1121582000)","22,856","22,856","1,083","1,534","4,317","3,850","3,454","3,667","2,778","1,525","557","77","14","11,013","11,013","525","820","2,040","1,930","1,732","1,759","1,311","654","212","26","4","11,843","11,843","558","714","2,277","1,920","1,722","1,908","1,467","871","345","51","10"
"서울특별시 광진구 자양제2동(1121583000)","26,185","26,185","1,740","1,973","3,931","4,125","4,181","4,339","3,531","1,672","588","93","12","12,757","12,757","899","1,036","1,952","2,028","2,080","2,043","1,705","775","213","24","2","13,428","13,428","841","937","1,979","2,097","2,101","2,296","1,826","897","375","69","10"
"서울특별시 광진구 자양제3동(1121584000)","28,939","28,939","2,427","2,663","4,029","4,423","4,665","4,690","3,493","1,599","819","118","13","13,924","13,924","1,222","1,331","1,976","2,090","2,217","2,254","1,733","738","319","41","3","15,015","15,015","1,205","1,332","2,053","2,333","2,448","2,436","1,760","861","500","77","10"
"서울특별시 광진구 자양제4동(1121584700)","18,192","18,192","757","915","2,730","2,689","2,567","3,244","2,959","1,638","599","79","15","9,108","9,108","372","448","1,341","1,448","1,351","1,715","1,426","749","232","21","5","9,084","9,084","385","467","1,389","1,241","1,216","1,529","1,533","889","367","58","10"
"서울특별시 광진구 구의제1동(1121585000)","22,295","22,295","930","1,239","4,825","4,334","3,245","3,252","2,408","1,429","557","62","14","10,634","10,634","480","615","2,205","2,159","1,633","1,566","1,093","648","215","18","2","11,661","11,661","450","624","2,620","2,175","1,612","1,686","1,315","781","342","44","12"
"서울특별시 광진구 구의제2동(1121586000)","27,160","27,160","1,875","2,417","3,746","3,976","4,484","4,524","3,412","1,907","701","94","24","13,048","13,048","943","1,200","1,846","1,985","2,173","2,153","1,586","877","258","22","5","14,112","14,112","932","1,217","1,900","1,991","2,311","2,371","1,826","1,030","443","72","19"
"서울특별시 광진구 구의제3동(1121587000)","29,509","29,509","1,955","2,594","4,812","4,721","4,651","4,856","3,411","1,671","709","118","11","14,006","14,006","955","1,282","2,306","2,249","2,172","2,293","1,647","795","267","35","5","15,503","15,503","1,000","1,312","2,506","2,472","2,479","2,563","1,764","876","442","83","6"
"서울특별시 동대문구 (1123000000)","345,593","345,593","21,501","24,666","56,126","50,989","51,593","53,931","45,632","28,113","11,153","1,587","302","171,392","171,392","10,993","12,471","28,009","26,426","26,623","27,116","22,078","12,701","4,425","458","92","174,201","174,201","10,508","12,195","28,117","24,563","24,970","26,815","23,554","15,412","6,728","1,129","210"
"서울특별시 동대문구 용신동(1123053600)","30,917","30,917","1,331","1,478","5,965","5,274","4,252","4,719","4,016","2,580","1,116","162","24","15,760","15,760","686","783","2,908","2,744","2,329","2,535","2,039","1,212","462","55","7","15,157","15,157","645","695","3,057","2,530","1,923","2,184","1,977","1,368","654","107","17"
"서울특별시 동대문구 제기동(1123054500)","24,981","24,981","1,078","1,442","4,305","3,360","3,176","3,865","3,860","2,596","1,123","151","25","12,818","12,818","561","739","2,342","1,885","1,731","2,021","1,868","1,177","436","52","6","12,163","12,163","517","703","1,963","1,475","1,445","1,844","1,992","1,419","687","99","19"
"서울특별시 동대문구 전농제1동(1123056000)","30,471","30,471","1,947","2,018","4,682","4,442","4,451","4,977","4,153","2,540","1,079","139","43","15,288","15,288","996","1,021","2,385","2,296","2,315","2,565","2,094","1,136","428","38","14","15,183","15,183","951","997","2,297","2,146","2,136","2,412","2,059","1,404","651","101","29"
"서울특별시 동대문구 전농제2동(1123057000)","19,405","19,405","1,304","1,799","2,418","2,372","3,111","3,310","2,666","1,622","713","79","11","9,349","9,349","657","885","1,232","1,190","1,494","1,616","1,249","678","317","26","5","10,056","10,056","647","914","1,186","1,182","1,617","1,694","1,417","944","396","53","6"
"서울특별시 동대문구 답십리제1동(1123060000)","29,206","29,206","2,772","2,014","4,031","5,427","4,686","4,335","3,183","1,866","759","102","31","14,158","14,158","1,405","1,025","1,883","2,586","2,421","2,115","1,544","860","278","30","11","15,048","15,048","1,367","989","2,148","2,841","2,265","2,220","1,639","1,006","481","72","20"
"서울특별시 동대문구 답십리제2동(1123061000)","29,807","29,807","1,889","2,111","4,019","4,520","4,491","5,049","4,133","2,496","957","121","21","14,538","14,538","973","1,046","1,996","2,324","2,286","2,451","1,956","1,116","359","21","10","15,269","15,269","916","1,065","2,023","2,196","2,205","2,598","2,177","1,380","598","100","11"
"서울특별시 동대문구 장안제1동(1123065000)","38,706","38,706","2,635","2,667","5,240","6,405","6,431","6,097","5,324","2,832","904","147","24","19,272","19,272","1,331","1,377","2,506","3,307","3,371","3,016","2,591","1,360","365","40","8","19,434","19,434","1,304","1,290","2,734","3,098","3,060","3,081","2,733","1,472","539","107","16"
"서울특별시 동대문구 장안제2동(1123066000)","33,240","33,240","3,001","2,894","3,937","5,285","5,810","5,004","4,190","2,254","734","114","17","16,648","16,648","1,557","1,541","2,045","2,659","2,966","2,507","2,017","1,047","278","26","5","16,592","16,592","1,444","1,353","1,892","2,626","2,844","2,497","2,173","1,207","456","88","12"
"서울특별시 동대문구 청량리동(1123070500)","20,969","20,969","889","1,213","2,492","2,446","2,729","3,731","3,797","2,489","1,004","148","31","10,473","10,473","451","634","1,327","1,311","1,434","1,890","1,875","1,125","379","42","5","10,496","10,496","438","579","1,165","1,135","1,295","1,841","1,922","1,364","625","106","26"
