"행정구역","2020년06월_계_총인구수","2020년06월_계_연령구간인구수","2020년06월_계_0~9세","2020년06월_계_10~19세","2020년06월_계_20~29세","2020년06월_계_30~39세","2020년06월_계_40~49세","2020년06월_계_50~59세","2020년06월_계_60~69세","2020년06월_계_70~79세","2020년06월_계_80~89세","2020년06월_계_90~99세","2020년06월_계_100세 이상","2020년06월_남_총인구수","2020년06월_남_연령구간인구수","2020년06월_남_0~9세","2020년06월_남_10~19세","2020년06월_남_20~29세","2020년06월_남_30~39세","2020년06월_남_40~49세","2020년06월_남_50~59세","2020년06월_남_60~69세","2020년06월_남_70~79세","2020년06월_남_80~89세","2020년06월_남_90~99세","2020년06월_남_100세 이상","2020년06월_여_총인구수","2020년06월_여_연령구간인구수","2020년06월_여_0~9세","2020년06월_여_10~19세","2020년06월_여_20~29세","2020년06월_여_30~39세","2020년06월_여_40~49세","2020년06월_여_50~59세","2020년06월_여_60~69세","2020년06월_여_70~79세","2020년06월_여_80~89세","2020년06월_여_90~99세","2020년06월_여_100세 이상"
"경기도 용인시 기흥구 보정동(4146359000)","36,596","36,596","3,541","4,547","4,114","4,363","7,344","5,158","3,458","2,833","1,068","162","8","17,998","17,998","1,853","2,340","2,142","2,032","3,468","2,664","1,606","1,351","496","45","1","18,598","18,598","1,688","2,207","1,972","2,331","3,876","2,494","1,852","1,482","572","117","7"
"경기도 용인시 수지구 (4146500000)","375,366","375,366","37,677","45,669","46,191","52,686","72,940","54,048","32,824","23,133","8,833","1,310","55","182,997","182,997","19,152","23,143","23,166","25,052","34,938","27,477","15,158","10,603","3,940","361","7","192,369","192,369","18,525","22,526","23,025","27,634","38,002","26,571","17,666","12,530","4,893","949","48"
"경기도 용인시 수지구 풍덕천1동(4146551000)","36,865","36,865","2,872","3,792","5,454","6,263","6,251","5,406","3,461","2,290","945","118","13","18,351","18,351","1,466","1,952","2,811","3,326","3,032","2,727","1,615","1,007","377","36","2","18,514","18,514","1,406","1,840","2,643","2,937","3,219","2,679","1,846","1,283","568","82","11"
"경기도 용인시 수지구 풍덕천2동(4146552000)","42,146","42,146","4,898","5,871","4,979","6,419","9,136","5,711","2,396","1,735","889","107","5","20,678","20,678","2,472","2,997","2,466","3,000","4,444","3,063","1,150","690","362","32","2","21,468","21,468","2,426","2,874","2,513","3,419","4,692","2,648","1,246","1,045","527","75","3"
"경기도 용인시 수지구 신봉동(4146553000)","38,342","38,342","3,709","5,326","4,099","4,159","8,127","5,638","3,382","2,757","1,016","127","2","18,673","18,673","1,858","2,736","2,125","1,919","3,789","2,934","1,523","1,266","492","31","0","19,669","19,669","1,851","2,590","1,974","2,240","4,338","2,704","1,859","1,491","524","96","2"
"경기도 용인시 수지구 죽전1동(4146554000)","57,158","57,158","5,358","7,238","7,777","7,184","11,121","8,545","4,939","3,329","1,455","207","5","27,599","27,599","2,694","3,627","3,899","3,371","5,319","4,254","2,282","1,472","624","57","0","29,559","29,559","2,664","3,611","3,878","3,813","5,802","4,291","2,657","1,857","831","150","5"
"경기도 용인시 수지구 죽전2동(4146555000)","18,601","18,601","1,572","1,615","2,815","3,352","3,082","2,857","1,729","1,042","454","82","1","9,162","9,162","813","833","1,416","1,679","1,497","1,416","813","490","178","27","0","9,439","9,439","759","782","1,399","1,673","1,585","1,441","916","552","276","55","1"
"경기도 용인시 수지구 동천동(4146556000)","49,016","49,016","5,812","5,311","5,522","8,042","9,490","6,801","4,508","2,535","841","150","4","24,160","24,160","3,006","2,717","2,763","3,780","4,680","3,440","2,170","1,195","374","35","0","24,856","24,856","2,806","2,594","2,759","4,262","4,810","3,361","2,338","1,340","467","115","4"
"경기도 용인시 수지구 상현1동(4146557000)","49,039","49,039","4,945","6,285","6,338","6,978","9,459","6,988","4,031","2,792","1,040","173","10","23,732","23,732","2,481","3,167","3,053","3,320","4,496","3,552","1,863","1,277","482","39","2","25,307","25,307","2,464","3,118","3,285","3,658","4,963","3,436","2,168","1,515","558","134","8"
"경기도 용인시 수지구 상현2동(4146558000)","34,339","34,339","3,515","4,286","3,889","4,490","6,651","4,970","3,029","2,486","880","137","6","16,688","16,688","1,827","2,204","1,941","2,123","3,170","2,484","1,354","1,137","403","45","0","17,651","17,651","1,688","2,082","1,948","2,367","3,481","2,486","1,675","1,349","477","92","6"
