,EMD_CD,Address
157,11140171,서울특별시 중구 중림동
158,11140172,서울특별시 중구 의주로2가
159,11140173,서울특별시 중구 만리동1가
160,11140174,서울특별시 중구 만리동2가
161,11170101,서울특별시 용산구 후암동
162,11170102,서울특별시 용산구 용산동2가
163,11170103,서울특별시 용산구 용산동4가
164,11170104,서울특별시 용산구 갈월동
165,11170105,서울특별시 용산구 남영동
166,11170106,서울특별시 용산구 용산동1가
167,11170107,서울특별시 용산구 동자동
168,11170108,서울특별시 용산구 서계동
169,11170109,서울특별시 용산구 청파동1가
170,11170110,서울특별시 용산구 청파동2가
171,11170111,서울특별시 용산구 청파동3가
172,11170112,서울특별시 용산구 원효로1가
173,11170113,서울특별시 용산구 원효로2가
174,11170114,서울특별시 용산구 신창동
175,11170115,서울특별시 용산구 산천동
176,11170116,서울특별시 용산구 청암동
177,11170117,서울특별시 용산구 원효로3가
178,11170118,서울특별시 용산구 원효로4가
179,11170119,서울특별시 용산구 효창동
180,11170120,서울특별시 용산구 도원동
181,11170121,서울특별시 용산구 용문동
182,11170122,서울특별시 용산구 문배동
183,11170123,서울특별시 용산구 신계동
184,11170124,서울특별시 용산구 한강로1가
185,11170125,서울특별시 용산구 한강로2가
186,11170126,서울특별시 용산구 용산동3가
187,11170127,서울특별시 용산구 용산동5가
188,11170128,서울특별시 용산구 한강로3가
189,11170129,서울특별시 용산구 이촌동
190,11170130,서울특별시 용산구 이태원동
191,11170131,서울특별시 용산구 한남동
192,11170132,서울특별시 용산구 동빙고동
193,11170133,서울특별시 용산구 서빙고동
194,11170134,서울특별시 용산구 주성동
195,11170135,서울특별시 용산구 용산동6가
196,11170136,서울특별시 용산구 보광동
197,11200101,서울특별시 성동구 상왕십리동
198,11200102,서울특별시 성동구 하왕십리동
199,11200103,서울특별시 성동구 홍익동
200,11200104,서울특별시 성동구 도선동
201,11200105,서울특별시 성동구 마장동
202,11200106,서울특별시 성동구 사근동
203,11200107,서울특별시 성동구 행당동
204,11200108,서울특별시 성동구 응봉동
205,11200109,서울특별시 성동구 금호동1가
206,11200110,서울특별시 성동구 금호동2가
207,11200111,서울특별시 성동구 금호동3가
208,11200112,서울특별시 성동구 금호동4가
209,11200113,서울특별시 성동구 옥수동
210,11200114,서울특별시 성동구 성수동1가
211,11200115,서울특별시 성동구 성수동2가
212,11200118,서울특별시 성동구 송정동
213,11200122,서울특별시 성동구 용답동
214,11215101,서울특별시 광진구 중곡동
215,11215102,서울특별시 광진구 능동
216,11215103,서울특별시 광진구 구의동
217,11215104,서울특별시 광진구 광장동
218,11215105,서울특별시 광진구 자양동
219,11215107,서울특별시 광진구 화양동
220,11215109,서울특별시 광진구 군자동
221,11230101,서울특별시 동대문구 신설동
222,11230102,서울특별시 동대문구 용두동
223,11230103,서울특별시 동대문구 제기동
224,11230104,서울특별시 동대문구 전농동
225,11230105,서울특별시 동대문구 답십리동
226,11230106,서울특별시 동대문구 장안동
227,11230107,서울특별시 동대문구 청량리동
228,11230108,서울특별시 동대문구 회기동
229,11230109,서울특별시 동대문구 휘경동
230,11230110,서울특별시 동대문구 이문동
231,11260101,서울특별시 중랑구 면목동
232,11260102,서울특별시 중랑구 상봉동
233,11260103,서울특별시 중랑구 중화동
234,11260104,서울특별시 중랑구 묵동
235,11260105,서울특별시 중랑구 망우동
236,11260106,서울특별시 중랑구 신내동
237,11290101,서울특별시 성북구 성북동
238,11290102,서울특별시 성북구 성북동1가
239,11290103,서울특별시 성북구 돈암동
240,11290104,서울특별시 성북구 동소문동1가
241,11290105,서울특별시 성북구 동소문동2가
242,11290106,서울특별시 성북구 동소문동3가
243,11290107,서울특별시 성북구 동소문동4가
244,11290108,서울특별시 성북구 동소문동5가
245,11290109,서울특별시 성북구 동소문동6가
246,11290110,서울특별시 성북구 동소문동7가
247,11290111,서울특별시 성북구 삼선동1가
248,11290112,서울특별시 성북구 삼선동2가
249,11290113,서울특별시 성북구 삼선동3가
250,11290114,서울특별시 성북구 삼선동4가
251,11290115,서울특별시 성북구 삼선동5가
252,11290116,서울특별시 성북구 동선동1가
253,11290117,서울특별시 성북구 동선동2가
254,11290118,서울특별시 성북구 동선동3가
255,11290119,서울특별시 성북구 동선동4가
256,11290120,서울특별시 성북구 동선동5가
257,11290121,서울특별시 성북구 안암동1가
258,11290122,서울특별시 성북구 안암동2가
259,11290123,서울특별시 성북구 안암동3가
260,11290124,서울특별시 성북구 안암동4가
261,11290125,서울특별시 성북구 안암동5가
262,11290126,서울특별시 성북구 보문동4가
263,11290127,서울특별시 성북구 보문동5가
264,11290128,서울특별시 성북구 보문동6가
265,11290129,서울특별시 성북구 보문동7가
266,11290130,서울특별시 성북구 보문동1가
267,11290131,서울특별시 성북구 보문동2가
268,11290132,서울특별시 성북구 보문동3가
269,11290133,서울특별시 성북구 정릉동
270,11290134,서울특별시 성북구 길음동
271,11290135,서울특별시 성북구 종암동
272,11290136,서울특별시 성북구 하월곡동
273,11290137,서울특별시 성북구 상월곡동
274,11290138,서울특별시 성북구 장위동
275,11290139,서울특별시 성북구 석관동
276,11305101,서울특별시 강북구 미아동
277,11305102,서울특별시 강북구 번동
278,11305103,서울특별시 강북구 수유동
279,11305104,서울특별시 강북구 우이동
280,11320105,서울특별시 도봉구 쌍문동
281,11320106,서울특별시 도봉구 방학동
282,11320107,서울특별시 도봉구 창동
283,11320108,서울특별시 도봉구 도봉동
284,11350102,서울특별시 노원구 월계동
285,11350103,서울특별시 노원구 공릉동
286,11350104,서울특별시 노원구 하계동
287,11350105,서울특별시 노원구 상계동
288,11350106,서울특별시 노원구 중계동
289,11380101,서울특별시 은평구 수색동
290,11380102,서울특별시 은평구 녹번동
291,11380103,서울특별시 은평구 불광동
292,11380104,서울특별시 은평구 갈현동
293,11380105,서울특별시 은평구 구산동
294,11380106,서울특별시 은평구 대조동
295,11380107,서울특별시 은평구 응암동
296,11380108,서울특별시 은평구 역촌동
297,11380109,서울특별시 은평구 신사동
298,11380110,서울특별시 은평구 증산동
299,11380114,서울특별시 은평구 진관동
300,11410101,서울특별시 서대문구 충정로2가
301,11410102,서울특별시 서대문구 충정로3가
302,11410103,서울특별시 서대문구 합동
303,11410104,서울특별시 서대문구 미근동
304,11410105,서울특별시 서대문구 냉천동
305,11410106,서울특별시 서대문구 천연동
306,11410107,서울특별시 서대문구 옥천동
307,11410108,서울특별시 서대문구 영천동
308,11410109,서울특별시 서대문구 현저동
309,11410110,서울특별시 서대문구 북아현동
310,11410111,서울특별시 서대문구 홍제동
311,11410112,서울특별시 서대문구 대현동
312,11410113,서울특별시 서대문구 대신동
313,11410114,서울특별시 서대문구 신촌동
314,11410115,서울특별시 서대문구 봉원동
315,11410116,서울특별시 서대문구 창천동
316,11410117,서울특별시 서대문구 연희동
317,11410118,서울특별시 서대문구 홍은동
318,11410119,서울특별시 서대문구 북가좌동
319,11410120,서울특별시 서대문구 남가좌동
320,11440101,서울특별시 마포구 아현동
321,11440102,서울특별시 마포구 공덕동
322,11440103,서울특별시 마포구 신공덕동
323,11440104,서울특별시 마포구 도화동
324,11440105,서울특별시 마포구 용강동
325,11440106,서울특별시 마포구 토정동
326,11440107,서울특별시 마포구 마포동
327,11440108,서울특별시 마포구 대흥동
328,11440109,서울특별시 마포구 염리동
329,11440110,서울특별시 마포구 노고산동
330,11440111,서울특별시 마포구 신수동
331,11440112,서울특별시 마포구 현석동
332,11440113,서울특별시 마포구 구수동
333,11440114,서울특별시 마포구 창전동
334,11440115,서울특별시 마포구 상수동
335,11440116,서울특별시 마포구 하중동
336,11440117,서울특별시 마포구 신정동
337,11440118,서울특별시 마포구 당인동
338,11440120,서울특별시 마포구 서교동
339,11440121,서울특별시 마포구 동교동
340,11440122,서울특별시 마포구 합정동
341,11440123,서울특별시 마포구 망원동
342,11440124,서울특별시 마포구 연남동
343,11440125,서울특별시 마포구 성산동
344,11440126,서울특별시 마포구 중동
345,11440127,서울특별시 마포구 상암동
346,11470101,서울특별시 양천구 신정동
347,11470102,서울특별시 양천구 목동
348,11470103,서울특별시 양천구 신월동
349,11500101,서울특별시 강서구 염창동
350,11500102,서울특별시 강서구 등촌동
351,11500103,서울특별시 강서구 화곡동
352,11500104,서울특별시 강서구 가양동
353,11500105,서울특별시 강서구 마곡동
354,11500106,서울특별시 강서구 내발산동
355,11500107,서울특별시 강서구 외발산동
356,11500108,서울특별시 강서구 공항동
357,11500109,서울특별시 강서구 방화동
358,11500110,서울특별시 강서구 개화동
359,11500111,서울특별시 강서구 과해동
360,11500112,서울특별시 강서구 오곡동
361,11500113,서울특별시 강서구 오쇠동
362,11530101,서울특별시 구로구 신도림동
363,11530102,서울특별시 구로구 구로동
364,11530103,서울특별시 구로구 가리봉동
365,11530106,서울특별시 구로구 고척동
366,11530107,서울특별시 구로구 개봉동
367,11530108,서울특별시 구로구 오류동
368,11530109,서울특별시 구로구 궁동
369,11530110,서울특별시 구로구 온수동
370,11530111,서울특별시 구로구 천왕동
371,11530112,서울특별시 구로구 항동
372,11545101,서울특별시 금천구 가산동
373,11545102,서울특별시 금천구 독산동
374,11545103,서울특별시 금천구 시흥동
375,11560101,서울특별시 영등포구 영등포동
376,11560102,서울특별시 영등포구 영등포동1가
377,11560103,서울특별시 영등포구 영등포동2가
378,11560104,서울특별시 영등포구 영등포동3가
379,11560105,서울특별시 영등포구 영등포동4가
380,11560106,서울특별시 영등포구 영등포동5가
381,11560107,서울특별시 영등포구 영등포동6가
382,11560108,서울특별시 영등포구 영등포동7가
383,11560109,서울특별시 영등포구 영등포동8가
384,11560110,서울특별시 영등포구 여의도동
385,11560111,서울특별시 영등포구 당산동1가
386,11560112,서울특별시 영등포구 당산동2가
387,11560113,서울특별시 영등포구 당산동3가
388,11560114,서울특별시 영등포구 당산동4가
389,11560115,서울특별시 영등포구 당산동5가
390,11560116,서울특별시 영등포구 당산동6가
391,11560117,서울특별시 영등포구 당산동
392,11560118,서울특별시 영등포구 도림동
393,11560119,서울특별시 영등포구 문래동1가
394,11560120,서울특별시 영등포구 문래동2가
395,11560121,서울특별시 영등포구 문래동3가
396,11560122,서울특별시 영등포구 문래동4가
397,11560123,서울특별시 영등포구 문래동5가
398,11560124,서울특별시 영등포구 문래동6가
399,11560125,서울특별시 영등포구 양평동1가
400,11560126,서울특별시 영등포구 양평동2가
401,11560127,서울특별시 영등포구 양평동3가
402,11560128,서울특별시 영등포구 양평동4가
403,11560129,서울특별시 영등포구 양평동5가
404,11560130,서울특별시 영등포구 양평동6가
405,11560131,서울특별시 영등포구 양화동
406,11560132,서울특별시 영등포구 신길동
407,11560133,서울특별시 영등포구 대림동
408,11560134,서울특별시 영등포구 양평동
409,11590101,서울특별시 동작구 노량진동
410,11590102,서울특별시 동작구 상도동
411,11590103,서울특별시 동작구 상도1동
412,11590104,서울특별시 동작구 본동
413,11590105,서울특별시 동작구 흑석동
414,11590106,서울특별시 동작구 동작동
415,11590107,서울특별시 동작구 사당동
416,11590108,서울특별시 동작구 대방동
417,11590109,서울특별시 동작구 신대방동
418,11620101,서울특별시 관악구 봉천동
419,11620102,서울특별시 관악구 신림동
420,11620103,서울특별시 관악구 남현동
421,11650101,서울특별시 서초구 방배동
422,11650102,서울특별시 서초구 양재동
423,11650103,서울특별시 서초구 우면동
424,11650104,서울특별시 서초구 원지동
425,11650106,서울특별시 서초구 잠원동
426,11650107,서울특별시 서초구 반포동
427,11650108,서울특별시 서초구 서초동
428,11650109,서울특별시 서초구 내곡동
429,11650110,서울특별시 서초구 염곡동
430,11650111,서울특별시 서초구 신원동
431,11680101,서울특별시 강남구 역삼동
432,11680103,서울특별시 강남구 개포동
433,11680104,서울특별시 강남구 청담동
434,11680105,서울특별시 강남구 삼성동
435,11680106,서울특별시 강남구 대치동
436,11680107,서울특별시 강남구 신사동
437,11680108,서울특별시 강남구 논현동
438,11680110,서울특별시 강남구 압구정동
439,11680111,서울특별시 강남구 세곡동
440,11680112,서울특별시 강남구 자곡동
441,11680113,서울특별시 강남구 율현동
442,11680114,서울특별시 강남구 일원동
443,11680115,서울특별시 강남구 수서동
444,11680118,서울특별시 강남구 도곡동
445,11710101,서울특별시 송파구 잠실동
446,11710102,서울특별시 송파구 신천동
447,11710103,서울특별시 송파구 풍납동
448,11710104,서울특별시 송파구 송파동
449,11710105,서울특별시 송파구 석촌동
450,11710106,서울특별시 송파구 삼전동
451,11710107,서울특별시 송파구 가락동
452,11710108,서울특별시 송파구 문정동
453,11710109,서울특별시 송파구 장지동
454,11710111,서울특별시 송파구 방이동
455,11710112,서울특별시 송파구 오금동
456,11710113,서울특별시 송파구 거여동
457,11710114,서울특별시 송파구 마천동
458,11740101,서울특별시 강동구 명일동
459,11740102,서울특별시 강동구 고덕동
460,11740103,서울특별시 강동구 상일동
461,11740105,서울특별시 강동구 길동
462,11740106,서울특별시 강동구 둔촌동
463,11740107,서울특별시 강동구 암사동
464,11740108,서울특별시 강동구 성내동
465,11740109,서울특별시 강동구 천호동
466,11740110,서울특별시 강동구 강일동
467,26110101,부산광역시 중구 영주동
468,26110102,부산광역시 중구 대창동1가
469,26110103,부산광역시 중구 대창동2가
470,26110104,부산광역시 중구 중앙동1가
